Vertice: 1 | Pai: 0 | Level: 0
Vertice: 2 | Pai: -1 | Level: -1
Vertice: 3 | Pai: 487012 | Level: 6
Vertice: 4 | Pai: -1 | Level: -1
Vertice: 5 | Pai: -1 | Level: -1
Vertice: 6 | Pai: -1 | Level: -1
Vertice: 7 | Pai: -1 | Level: -1
Vertice: 8 | Pai: 1187305 | Level: 6
Vertice: 9 | Pai: 2197403 | Level: 6
Vertice: 10 | Pai: -1 | Level: -1
Vertice: 11 | Pai: 218877 | Level: 6
Vertice: 12 | Pai: -1 | Level: -1
Vertice: 13 | Pai: -1 | Level: -1
Vertice: 14 | Pai: -1 | Level: -1
Vertice: 15 | Pai: -1 | Level: -1
Vertice: 16 | Pai: -1 | Level: -1
Vertice: 17 | Pai: -1 | Level: -1
Vertice: 18 | Pai: 1623767 | Level: 5
Vertice: 19 | Pai: 4405476 | Level: 6
Vertice: 20 | Pai: -1 | Level: -1
Vertice: 21 | Pai: -1 | Level: -1
Vertice: 22 | Pai: -1 | Level: -1
Vertice: 23 | Pai: -1 | Level: -1
Vertice: 24 | Pai: -1 | Level: -1
Vertice: 25 | Pai: -1 | Level: -1
Vertice: 26 | Pai: 1482179 | Level: 5
Vertice: 27 | Pai: -1 | Level: -1
Vertice: 28 | Pai: -1 | Level: -1
Vertice: 29 | Pai: -1 | Level: -1
Vertice: 30 | Pai: -1 | Level: -1
Vertice: 31 | Pai: -1 | Level: -1
Vertice: 32 | Pai: -1 | Level: -1
Vertice: 33 | Pai: -1 | Level: -1
Vertice: 34 | Pai: -1 | Level: -1
Vertice: 35 | Pai: -1 | Level: -1
Vertice: 36 | Pai: -1 | Level: -1
Vertice: 37 | Pai: 2374532 | Level: 5
Vertice: 38 | Pai: -1 | Level: -1
Vertice: 39 | Pai: -1 | Level: -1
Vertice: 40 | Pai: 3054593 | Level: 5
Vertice: 41 | Pai: 1582755 | Level: 5
Vertice: 42 | Pai: 2476236 | Level: 4
Vertice: 43 | Pai: -1 | Level: -1
Vertice: 44 | Pai: -1 | Level: -1
Vertice: 45 | Pai: 1770723 | Level: 6
Vertice: 46 | Pai: 3567619 | Level: 5
Vertice: 47 | Pai: -1 | Level: -1
Vertice: 48 | Pai: -1 | Level: -1
Vertice: 49 | Pai: -1 | Level: -1
Vertice: 50 | Pai: 3280933 | Level: 6
Vertice: 51 | Pai: 2290499 | Level: 6
Vertice: 52 | Pai: -1 | Level: -1
Vertice: 53 | Pai: 2798820 | Level: 6
Vertice: 54 | Pai: 1317248 | Level: 6
Vertice: 55 | Pai: -1 | Level: -1
Vertice: 56 | Pai: -1 | Level: -1
Vertice: 57 | Pai: -1 | Level: -1
Vertice: 58 | Pai: -1 | Level: -1
Vertice: 59 | Pai: -1 | Level: -1
Vertice: 60 | Pai: -1 | Level: -1
Vertice: 61 | Pai: -1 | Level: -1
Vertice: 62 | Pai: -1 | Level: -1
Vertice: 63 | Pai: -1 | Level: -1
Vertice: 64 | Pai: -1 | Level: -1
Vertice: 65 | Pai: -1 | Level: -1
Vertice: 66 | Pai: -1 | Level: -1
Vertice: 67 | Pai: 3587530 | Level: 6
Vertice: 68 | Pai: 2883803 | Level: 6
Vertice: 69 | Pai: -1 | Level: -1
Vertice: 70 | Pai: -1 | Level: -1
Vertice: 71 | Pai: -1 | Level: -1
Vertice: 72 | Pai: -1 | Level: -1
Vertice: 73 | Pai: -1 | Level: -1
Vertice: 74 | Pai: 1323014 | Level: 6
Vertice: 75 | Pai: -1 | Level: -1
Vertice: 76 | Pai: 671402 | Level: 5
Vertice: 77 | Pai: -1 | Level: -1
Vertice: 78 | Pai: 3525994 | Level: 5
Vertice: 79 | Pai: -1 | Level: -1
Vertice: 80 | Pai: -1 | Level: -1
Vertice: 81 | Pai: -1 | Level: -1
Vertice: 82 | Pai: -1 | Level: -1
Vertice: 83 | Pai: -1 | Level: -1
Vertice: 84 | Pai: 3010455 | Level: 6
Vertice: 85 | Pai: -1 | Level: -1
Vertice: 86 | Pai: -1 | Level: -1
Vertice: 87 | Pai: -1 | Level: -1
Vertice: 88 | Pai: -1 | Level: -1
Vertice: 89 | Pai: -1 | Level: -1
Vertice: 90 | Pai: -1 | Level: -1
Vertice: 91 | Pai: -1 | Level: -1
Vertice: 92 | Pai: -1 | Level: -1
Vertice: 93 | Pai: -1 | Level: -1
Vertice: 94 | Pai: 469261 | Level: 5
Vertice: 95 | Pai: -1 | Level: -1
Vertice: 96 | Pai: 2774862 | Level: 5
Vertice: 97 | Pai: 102930 | Level: 6
Vertice: 98 | Pai: -1 | Level: -1
Vertice: 99 | Pai: -1 | Level: -1
Vertice: 100 | Pai: -1 | Level: -1
